layout,N,K,bytes,ns_per_op
AoS,64,1,8192,2.5781
SoA,64,1,8192,1.7031
AoS,64,2,8192,1.5859
SoA,64,2,8192,1.3984
AoS,64,4,8192,1.3594
SoA,64,4,8192,1.2695
AoS,64,8,8192,1.2109
SoA,64,8,8192,1.1934
AoS,64,16,8192,1.1543
SoA,64,16,8192,1.1572
AoS,256,1,32768,2.1016
SoA,256,1,32768,1.2578
AoS,256,2,32768,1.2344
SoA,256,2,32768,1.1875
AoS,256,4,32768,1.1719
SoA,256,4,32768,1.1514
AoS,256,8,32768,1.1392
SoA,256,8,32768,1.1323
AoS,256,16,32768,1.1240
SoA,256,16,32768,1.1267
AoS,1024,1,131072,1.7812
SoA,1024,1,131072,1.1504
AoS,1024,2,131072,1.1470
SoA,1024,2,131072,1.1338
AoS,1024,4,131072,1.1294
SoA,1024,4,131072,1.1240
AoS,1024,8,131072,1.1190
SoA,1024,8,131072,1.1202
AoS,1024,16,131072,1.1164
SoA,1024,16,131072,1.1174
AoS,4096,1,524288,2.0713
SoA,4096,1,524288,1.1226
AoS,4096,2,524288,1.2069
SoA,4096,2,524288,1.1195
AoS,4096,4,524288,1.1218
SoA,4096,4,524288,1.1169
AoS,4096,8,524288,1.1156
SoA,4096,8,524288,1.1152
AoS,4096,16,524288,1.1221
SoA,4096,16,524288,1.1148
AoS,16384,1,2097152,2.0468
SoA,16384,1,2097152,1.1171
AoS,16384,2,2097152,1.2054
SoA,16384,2,2097152,1.1674
AoS,16384,4,2097152,1.2467
SoA,16384,4,2097152,1.1148
AoS,16384,8,2097152,1.1145
SoA,16384,8,2097152,1.1220
AoS,16384,16,2097152,1.1287
SoA,16384,16,2097152,1.1357
AoS,65536,1,8388608,3.8602
SoA,65536,1,8388608,1.1149
AoS,65536,2,8388608,1.2631
SoA,65536,2,8388608,1.1238
AoS,65536,4,8388608,1.5032
SoA,65536,4,8388608,1.1165
AoS,65536,8,8388608,1.1596
SoA,65536,8,8388608,1.1986
AoS,65536,16,8388608,1.1681
SoA,65536,16,8388608,1.1580
AoS,262144,1,33554432,6.4216
SoA,262144,1,33554432,1.1618
AoS,262144,2,33554432,3.3747
SoA,262144,2,33554432,1.3837
AoS,262144,4,33554432,1.9754
SoA,262144,4,33554432,1.3830
AoS,262144,8,33554432,1.4654
SoA,262144,8,33554432,1.2049
AoS,262144,16,33554432,1.1959
SoA,262144,16,33554432,1.1873
AoS,1048576,1,134217728,7.1004
SoA,1048576,1,134217728,1.5478
AoS,1048576,2,134217728,3.9226
SoA,1048576,2,134217728,1.4174
AoS,1048576,4,134217728,2.0054
SoA,1048576,4,134217728,1.3410
AoS,1048576,8,134217728,1.3328
SoA,1048576,8,134217728,1.2108
AoS,1048576,16,134217728,1.2875
SoA,1048576,16,134217728,1.2378
